Mon Apr 11 11:50:37 2022,0:00:52.695257,0.14480433613061905,22.66499900817871,1.4081904292106628,2.1139893531799316
Mon Apr 11 11:51:37 2022,0:01:53.031801,0.1462884321808815,22.749999046325684,1.4224268794059753,2.130067825317383
Mon Apr 11 11:52:38 2022,0:02:53.307935,0.14830265194177628,22.78999900817871,1.4419252276420593,2.157125234603882
Mon Apr 11 11:53:38 2022,0:03:53.596019,0.15081920474767685,22.479999542236328,1.4673838019371033,2.2153172492980957
Mon Apr 11 11:54:38 2022,0:04:53.864272,0.15370190143585205,21.734999656677246,1.4970471858978271,2.3059557676315308
Mon Apr 11 11:55:39 2022,0:05:54.168863,0.16340530663728714,21.394999504089355,1.5924962759017944,2.4776235818862915
Mon Apr 11 11:56:39 2022,0:06:54.428526,0.1642078459262848,21.524999618530273,1.599918782711029,2.478643298149109
Mon Apr 11 11:57:39 2022,0:07:54.683542,0.19342610985040665,21.545000076293945,1.8845397233963013,2.918008804321289
Mon Apr 11 11:58:39 2022,0:08:54.993815,0.19306440651416779,20.664999961853027,1.8826633095741272,2.986474633216858
Wed Apr 13 10:30:02 2022,0:00:11.054906,0.1,0.1435582935810089,23.0,1.3952627182006836,2.074298143386841
2.074298143386841,Wed Apr 13 10:30:10 2022,0:00:18.910342,1.0,0.1435582935810089,23.0,1.3952627182006836,2.074298143386841
1.3952627182006836,2.074298143386841,Wed Apr 13 10:30:13 2022,0:00:22.251310,5.0,0.1435582935810089,23.0,1.3952627182006836,2.074298143386841
23.0,1.3952627182006836,2.074298143386841,Wed Apr 13 10:30:17 2022,0:00:26.135687,10.0,0.1435582935810089,23.0,1.3952627182006836,2.074298143386841
Wed Apr 13 10:33:08 2022,0:00:06.915878,0.1,0.14294062554836273,23.01999855041504,1.3892109394073486,2.0641229152679443
2.0641229152679443,Wed Apr 13 10:33:12 2022,0:00:10.831775,1.0,0.14294062554836273,23.01999855041504,1.3892109394073486,2.0641229152679443
1.3892109394073486,2.0641229152679443,Wed Apr 13 10:33:15 2022,0:00:13.566251,5.0,0.14294062554836273,23.01999855041504,1.3892109394073486,2.0641229152679443
Wed Apr 13 10:36:12 2022,0:00:09.744691,1.0,0.1436564177274704,23.01999855041504,1.3961676359176636,2.0744593143463135
2.0744593143463135,Wed Apr 13 10:36:16 2022,0:00:13.595152,4.0,0.1436564177274704,23.01999855041504,1.3961676359176636,2.0744593143463135
Wed Apr 13 10:37:50 2022,0:00:06.336371,1.0,0.1429896205663681,23.029998779296875,1.3896628618240356,2.064204692840576
2.064204692840576,Wed Apr 13 10:37:55 2022,0:00:11.940929,5.0,0.1436564177274704,23.01999855041504,1.3961676359176636,2.0744593143463135
1.3961676359176636,2.0744593143463135,Wed Apr 13 10:37:58 2022,0:00:14.498253,6.0,0.1429896205663681,23.029998779296875,1.3896628618240356,2.064204692840576
Wed Apr 13 10:38:57 2022,0:00:07.766027,1.0,0.14370565116405487,23.029998779296875,1.396621584892273,2.0745410919189453
2.0745410919189453,Wed Apr 13 10:39:00 2022,0:00:10.948078,4.0,0.14370565116405487,23.029998779296875,1.396621584892273,2.0745410919189453
1.396621584892273,2.0745410919189453,Wed Apr 13 10:39:03 2022,0:00:13.407231,8.0,0.14370565116405487,23.029998779296875,1.396621584892273,2.0745410919189453
Wed Apr 13 10:54:39 2022,0:00:05.975206,1.0,0.14414946734905243,23.119998931884766,1.400713324546814,2.0752718448638916
2.0752718448638916,Wed Apr 13 10:54:42 2022,0:00:08.350549,3.0,0.14414946734905243,23.119998931884766,1.400713324546814,2.0752718448638916
1.400713324546814,2.0752718448638916,Wed Apr 13 10:54:45 2022,0:00:11.354355,6.0,0.14414946734905243,23.119998931884766,1.400713324546814,2.0752718448638916
Wed Apr 13 10:56:40 2022,0:00:07.462427,1.0,0.14424848556518555,23.139999389648438,1.4016261100769043,2.0754354000091553
2.0754354000091553,Wed Apr 13 10:56:42 2022,0:00:09.411562,3.0,0.14424848556518555,23.139999389648438,1.4016261100769043,2.0754354000091553
1.4016261100769043,2.0754354000091553,Wed Apr 13 10:56:45 2022,0:00:12.641858,6.0,0.14424848556518555,23.139999389648438,1.4016261100769043,2.0754354000091553
23.139999389648438,1.4016261100769043,2.0754354000091553,Wed Apr 13 10:56:47 2022,0:00:14.685104,9.0,0.14424848556518555,23.139999389648438,1.4016261100769043,2.0754354000091553
Wed Apr 13 11:00:24 2022,0:00:04.514839,1.0,0.14444689452648163,23.18000030517578,1.4034550189971924,2.0757622718811035
2.0757622718811035,Wed Apr 13 11:00:27 2022,0:00:06.943613,4.0,0.14444689452648163,23.18000030517578,1.4034550189971924,2.0757622718811035
1.4034550189971924,2.0757622718811035,Wed Apr 13 11:00:30 2022,0:00:10.603037,6.0,0.14444689452648163,23.18000030517578,1.4034550189971924,2.0757622718811035
23.18000030517578,1.4034550189971924,2.0757622718811035,Wed Apr 13 11:00:32 2022,0:00:12.504890,8.0,0.14444689452648163,23.18000030517578,1.4034550189971924,2.0757622718811035
Wed Apr 13 11:08:55 2022,0:00:20.242491,1.0,0.14469586312770844,23.229999542236328,1.4057496786117554,2.076174736022949
2.076174736022949,Wed Apr 13 11:08:57 2022,0:00:22.124488,4.0,0.14469586312770844,23.229999542236328,1.4057496786117554,2.076174736022949
1.4057496786117554,2.076174736022949,Wed Apr 13 11:08:59 2022,0:00:23.646146,6.0,0.14469586312770844,23.229999542236328,1.4057496786117554,2.076174736022949
