Timestamp,Time since start,Probe,pCo2,Temp in C,mbar,DLI
Wed May  4 11:32:28 2022,0:02:26.570337,0.1,0.1123274378478527,21.960000038146973,1.0936577916145325,1.6735739707946777
Wed May  4 11:34:17 2022,0:04:15.277745,1.0,0.11062776669859886,21.5,1.0779181718826294,1.67109215259552
Wed May  4 11:36:02 2022,0:06:00.225190,5.0,0.1100626029074192,21.484999656677246,1.0725484490394592,1.6630157828330994
Wed May  4 11:37:56 2022,0:07:54.329312,10.0,0.11041257530450821,21.744998931884766,1.0753938555717468,1.656402051448822

Slope,Intercept,R^2
-0.00013900277804048593,0.11141708187120769,0.388601825969764
