Fri May 13 19:11:02 2022,0:00:50.264629,0.2565419906772365,25.059999465942383,1.2823737263679504,1.7947914004325867

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:12:08 2022,0:00:50.324435,0.25654144095150055,25.03999900817871,1.2876548767089844,1.8034272193908691

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:13:14 2022,0:00:50.293370,0.25654211386181175,25.03999900817871,1.2812823057174683,1.7945021390914917

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:14:19 2022,0:00:50.238187,0.25654211386181175,25.03999900817871,1.2812823057174683,1.7945021390914917

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:15:26 2022,0:00:50.241903,0.25654211386181175,25.03999900817871,1.2812823057174683,1.7945021390914917

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:16:32 2022,0:00:50.310346,0.2565420728561492,25.03999900817871,1.2816455960273743,1.7945979237556458

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:17:38 2022,0:00:50.259451,0.25654169521250814,25.059999465942383,1.2851967811584473,1.7991564869880676

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:18:43 2022,0:00:50.284049,0.2565420318504867,25.059999465942383,1.2820088863372803,1.7946937084197998

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:19:47 2022,0:00:50.217662,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:20:52 2022,0:00:50.259156,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:21:57 2022,0:00:50.247941,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:23:01 2022,0:00:50.321952,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:24:07 2022,0:00:50.278044,0.2565417849633378,25.119998931884766,1.284195899963379,1.795274019241333

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:25:11 2022,0:00:50.269263,0.2565417849633378,25.119998931884766,1.284195899963379,1.795274019241333

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:26:16 2022,0:00:50.264316,0.2565417849633378,25.119998931884766,1.284195899963379,1.795274019241333

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:27:20 2022,0:00:50.221887,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:28:26 2022,0:00:50.272309,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:29:30 2022,0:00:50.231211,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:30:35 2022,0:00:50.264613,0.2565420318504867,25.059999465942383,1.2820088863372803,1.7946937084197998

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:31:40 2022,0:00:50.253592,0.2565420318504867,25.059999465942383,1.2820088863372803,1.7946937084197998

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:32:45 2022,0:00:50.252557,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:33:50 2022,0:00:50.244377,0.2565419906772365,25.079999923706055,1.2823737263679504,1.7947914004325867

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:34:55 2022,0:00:50.258457,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:35:59 2022,0:00:50.269178,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:37:05 2022,0:00:50.232428,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:38:10 2022,0:00:50.283604,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:39:15 2022,0:00:50.281427,0.25654190842214747,25.09000015258789,1.2831023931503296,1.7949848175048828

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:40:20 2022,0:00:50.277905,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:41:26 2022,0:00:50.255161,0.2565418673403087,25.100000381469727,1.2834662199020386,1.795080542564392

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
Fri May 13 19:42:32 2022,0:00:50.290416,0.25654194950398623,25.079999923706055,1.2827385663986206,1.7948890924453735

Slope,Intercept,R^2
-0.00102242,0.25667741,0.74651233
